Owner,Repository Name,Repository Link,Stars,Forks,Issues,Pull Requests,Description,File Name,Dependency Name,Spec Name,Testing Framework,Created At
google-research,google-research,https://github.com/google-research/google-research,33730,7725,1229,867,Google Research,generate_api.py,pydocs,ArgParse_Parent,unit,10/4/2018
awslabs,gluonts,https://github.com/awslabs/gluonts,4521,715,954,1813,Probabilistic time series modeling in Python,train_mnist_custom_loop.py,pydocs,ArgParse_Parent,unit,5/15/2019
lowRISC,opentitan,https://github.com/lowRISC/opentitan,2485,724,6677,17791,OpenTitan: Open source silicon root of trust,train_mnist_custom_loop.py,pydocs,ArgParse_Parent,unit,8/26/2019
oegedijk,explainerdashboard,https://github.com/oegedijk/explainerdashboard,2285,324,235,49,"Quickly build Explainable AI dashboards that show the inner workings of so-called ""blackbox"" machine learning models.",archive.py,pydocs,Arrays_Comparable,unit,10/30/2019
intel,neural-compressor,https://github.com/intel/neural-compressor,2123,247,197,1784,"SOTA low-bit LLM quantization (INT8/FP8/INT4/FP4/NF4) & sparsity<> leading model compression techniques on TensorFlow<> PyTorch, and ONNX Runtime",entrypoint.py,pydocs,ArgParse_Parent,unit,7/21/2020
indico,indico,https://github.com/indico/indico,1722,416,3578,2916,"Indico - A feature-rich event management system<> made @ CERN, the place where the Web was born.",submission_manager.py,pydocs,Arrays_Comparable,unit,7/27/2011
Xilinx,brevitas,https://github.com/Xilinx/brevitas,1139,190,430,542,Brevitas: neural network quantization in PyTorch,fever_lr_bert-base_llama2.py,pydocs,ArgParse_Parent,unit,7/10/2018
SunzeY,AlphaCLIP,https://github.com/SunzeY/AlphaCLIP,629,37,53,9,[CVPR 2024] Alpha-CLIP: A CLIP Model Focusing on Wherever You Want,tiny_imagenet.py,pydocs,Arrays_Comparable,unit,11/27/2023
seanfisk,python-project-template,https://github.com/seanfisk/python-project-template,542,166,22,49,A template Python project with a focus on best practices.,cli.py,pydocs,ArgParse_Parent,unit,4/11/2012
Yelp,Tron,https://github.com/Yelp/Tron,340,59,152,841,Next generation batch process scheduling and management,pw,pydocs,ArgParse_Parent,unit,9/9/2010
kubilus1,autoortho,https://github.com/kubilus1/autoortho,207,34,213,84,Orthophoto streaming for X-Plane 11,cpcc,pydocs,Console_CloseErrorWriter,unit,12/31/2021
LGE-ARC-AdvancedAI,auptimizer,https://github.com/LGE-ARC-AdvancedAI/auptimizer,200,27,6,44,An automatic ML model optimization tool.,tripletsample_dataset.py,pydocs,Arrays_Comparable,unit,9/12/2019
